Country Name,GDP per capita,GDP Total,group_label,group average,GDP Cumulative
"Egypt, Arab Rep.",12250.780414243101,303175127597.521,4,14021.83,0.015456722498811944
Iraq,11332.1414748318,234094042938.917,4,14021.83,0.011934774099065619
Peru,13380.3644240996,226848050819.525,4,14021.83,0.01156535299811467
Algeria,11820.0876836807,169988236398.126,4,14021.83,0.00866647940050133
Ukraine,13341.210518961201,153781069118.148,4,14021.83,0.007840192332945419
Ecuador,11846.7805579093,107435665000.0,4,14021.83,0.005477373007276674
Sri Lanka,13620.1184803752,84008783756.068,4,14021.83,0.004283004573198574
Lebanon,15327.308962950701,53367042272.1725,4,14021.83,0.0027208022291274584
Libya,15803.0563753175,52076250947.5792,4,14021.83,0.002654994049326512
Azerbaijan,15000.816497354199,48047647058.8235,4,14021.83,0.002449604468526874
Tunisia,11201.3437583802,38797709923.6641,4,14021.83,0.0019780166025874933
Paraguay,13210.3079115965,38145288939.8488,4,14021.83,0.0019447543419952515
Bosnia and Herzegovina,15791.6747394431,20047848434.5487,4,14021.83,0.0010220958177097983
Georgia,15636.553760474299,17743195770.1998,4,14021.83,0.0009045981292573376
Gabon,15486.0683210591,16657960228.0892,4,14021.83,0.000849269762602802
Albania,14495.0785140737,15278077446.8643,4,14021.83,0.0007789194492400362
Mongolia,12819.948579907299,13852850259.4854,4,14021.83,0.0007062573502491095
Armenia,14219.6277088197,13672802157.8324,4,14021.83,0.0006970779905643573
Moldova,13574.0514280756,11955435456.7957,4,14021.83,0.0006095217957769539
Fiji,14427.5824179953,5535548972.41252,4,14021.83,0.0002822178884633
Barbados,16286.9795151271,5209000000.0,4,14021.83,0.00026556950147703926
Suriname,17005.4267499399,3985250737.4631295,4,14021.83,0.00020317931495663014
St. Lucia,16089.0676701298,2122450629.62963,4,14021.83,0.00010820851518916663
St. Vincent and the Grenadines,12982.896388735,825385185.185185,4,14021.83,4.208046307470979e-05
Dominica,12659.344514903201,596033333.333333,4,14021.83,3.0387459243046883e-05
Nauru,12080.0745947298,118223430.12444599,4,14021.83,6.0273636784516615e-06
India,7034.217224321279,2875142314811.85,1,7531.48,0.6064581590945842
Nigeria,5348.33979658925,448120428858.769,1,7531.48,0.09452272638411956
Philippines,9277.374369233,376795508679.676,1,7531.48,0.07947805205042087
Vietnam,8374.444328245341,261921244843.172,1,7531.48,0.05524744815483917
Morocco,7826.167677276809,118725279596.13,1,7531.48,0.025042904530647773
Angola,6929.67815844764,94635415869.9851,1,7531.48,0.019961592787248635
Guatemala,8995.5378734599,76710385879.6627,1,7531.48,0.01618063883806733
Myanmar,5355.2701901514,76085852617.1371,1,7531.48,0.016048905083277738
Ghana,5636.95391019817,66983634223.943,1,7531.48,0.014128960257598874
Cote d'Ivoire,5455.360012477639,58792205642.1538,1,7531.48,0.012401129717707241
Uzbekistan,7288.76562624693,57921286440.3495,1,7531.48,0.012217425400489495
Jordan,10316.6090946321,43743661971.831,1,7531.48,0.009226917420687207
Bolivia,9086.06069605746,40895322865.4124,1,7531.48,0.008626112903270203
El Salvador,9139.70633420179,27022640000.0,1,7531.48,0.005699926721487564
Honduras,5965.3688189555005,25095395475.0393,1,7531.48,0.00529341009074149
Lao PDR,8150.7524258212,18173839128.2699,1,7531.48,0.0038334356406051324
Jamaica,10166.0627751259,16458071067.8176,1,7531.48,0.003471526063463633
Nicaragua,5631.2015730516605,12520915291.1837,1,7531.48,0.0026410557830656156
Namibia,10036.592457889,12366527719.3322,1,7531.48,0.002608490576769637
Kyrgyz Republic,5470.81153606315,8454619607.81795,1,7531.48,0.00178334582493103
Mauritania,5412.41916158234,7593752450.2055,1,7531.48,0.0016017618007451526
Eswatini,9048.17892189938,4405405802.44294,1,7531.48,0.0009292389734067758
Guyana,10104.7011912961,4280443645.0839295,1,7531.48,0.0009028805147252645
Djibouti,5748.08104445594,3318716359.44182,1,7531.48,0.0007000219097105375
Cabo Verde,7469.07557883617,1981845740.70615,1,7531.48,0.00041803374856480715
Belize,7295.23013575062,1879613600.0,1,7531.48,0.0003964697670069038
Samoa,6787.13142581817,850655017.220488,1,7531.48,0.00017942996181803566
Mexico,20410.706569391397,1258286717124.53,8,2771.22,0.42033701185261485
Thailand,19228.2946818444,543649976165.63,8,2771.22,0.1816090111778478
Argentina,22947.139795287403,449663446954.073,8,2771.22,0.15021233798283504
Chile,25154.992822918502,282318159744.65,8,2771.22,0.09430980240336669
Dominican Republic,19182.4091507031,88941298257.7215,8,2771.22,0.029711288398066183
Bulgaria,24561.1826135398,67927179736.6915,8,2771.22,0.022691416324687016
Belarus,19943.292523313703,63080457022.6599,8,2771.22,0.021072344204502966
Costa Rica,20434.4084263187,61773944173.6736,8,2771.22,0.020635897010539944
Uruguay,22454.657943345497,56045912952.342,8,2771.22,0.01872241934713811
Serbia,18989.0396642879,51409167350.7548,8,2771.22,0.01717349113835449
Botswana,18502.8182229188,18340510789.4272,8,2771.22,0.006126739952159495
Mauritius,23942.1324115873,14180444557.2047,8,2771.22,0.004737048886233451
North Macedonia,17814.861178511102,12694823394.0947,8,2771.22,0.004240769658337204
Equatorial Guinea,19327.138318831498,11026774945.3415,8,2771.22,0.003683549677364522
Maldives,19698.2357543354,5729248472.24028,8,2771.22,0.0019138842921953075
Montenegro,22988.6801996606,5494736901.03,8,2771.22,0.0018355445213419246
Antigua and Barbuda,22816.4522023563,1727759259.25926,8,2771.22,0.0005771666777960988
Grenada,17956.1054033822,1228170370.37037,8,2771.22,0.0004102764946189198
